횡단보도ID,행정동,읍면동명,시나리오,PET_A_proxy_고위험,PET_B_surrogate_고위험,고령자미완료횡단,차량평균지체_초,차량최대지체_초,평균대기행렬_대,최대대기행렬_대,PET_A_proxy_평균,PET_B_surrogate_평균,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_moderate,PET_B_surrogate_safe
125895,신당동,신당동,baseline,17.666666666666668,0.0,0.0,0.5955921747377085,20.3,0.0008409364165243,1.0,9.893168392788638,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295563,106.0,20.333333333333332,68.0,0.0,0.0,0.0
125895,신당동,신당동,smart,17.666666666666668,0.0,0.0,0.5955921747377085,20.3,0.0008409364165243,1.0,9.893168392788638,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295563,106.0,20.333333333333332,68.0,0.0,0.0,0.0
8430,신당동,신당동,baseline,6.333333333333333,5.666666666666667,5.0,5.078738749461173,94.96666666666664,0.4072676363790501,4.666666666666667,11.131052631578944,0.2170951838090473,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,24.0,0.6666666666666666,17.0,13.333333333333334,7.666666666666667,0.0
8430,신당동,신당동,smart,5.666666666666667,3.3333333333333335,1.3333333333333333,5.357193257115392,94.96666666666664,0.4475979723660684,4.666666666666667,8.538730158730155,-2.305016047814422,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,22.0,2.3333333333333335,14.0,5.333333333333333,2.0,0.0
9628,중림동,만리동2가,baseline,82.0,0.0,0.0,0.6947185854544619,25.333333333333332,0.0010306131131236,1.0,4.113671264939476,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,152.33333333333334,22.333333333333332,48.0,0.0,0.0,0.0
9628,중림동,만리동2가,smart,82.0,0.0,0.0,0.6947185854544619,25.333333333333332,0.0010306131131236,1.0,4.113671264939476,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,152.33333333333334,22.333333333333332,48.0,0.0,0.0,0.0
8340,장충동,장충동1가,baseline,1.0,0.0,0.0,0.1752291723419696,4.766666666666667,4.938271604938271e-05,1.0,12.75499031860586,,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826607,22.666666666666668,1.6666666666666667,20.0,0.0,0.0,0.0
8340,장충동,장충동1가,smart,1.0,0.0,0.0,0.1752291723419696,4.766666666666667,4.938271604938271e-05,1.0,12.75499031860586,,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826607,22.666666666666668,1.6666666666666667,20.0,0.0,0.0,0.0
6511,명동,충무로2가,baseline,48.666666666666664,0.0,0.0,0.7820518641201089,18.566666666666663,0.0005847542498467,1.0,6.382605986909262,,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766598,139.66666666666666,17.666666666666668,73.33333333333333,0.0,0.0,0.0
6511,명동,충무로2가,smart,48.666666666666664,0.0,0.0,0.7820518641201089,18.566666666666663,0.0005847542498467,1.0,6.382605986909262,,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766598,139.66666666666666,17.666666666666668,73.33333333333333,0.0,0.0,0.0
