횡단보도ID,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
9628,중림동,만리동2가,smart,5.0,0.19019913136114072,2.0,50.0,7.0,14.0,5.201991313611407,152.33333333333334,4.113671264939476,82.0,22.333333333333332,48.0,0.0,,0.0,0.0,0.0,0.0,0.6947185854544619,25.333333333333332,0.001030613113123615,1.0
8340,장충동,장충동1가,baseline,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826607,22.666666666666668,12.754990318605861,1.0,1.6666666666666667,20.0,0.0,,0.0,0.0,0.0,0.0,0.17522917234196966,4.766666666666667,4.938271604938271e-05,1.0
8340,장충동,장충동1가,smart,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826607,22.666666666666668,12.754990318605861,1.0,1.6666666666666667,20.0,0.0,,0.0,0.0,0.0,0.0,0.17522917234196966,4.766666666666667,4.938271604938271e-05,1.0
6511,명동,충무로2가,baseline,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766598,139.66666666666666,6.382605986909262,48.666666666666664,17.666666666666668,73.33333333333333,0.0,,0.0,0.0,0.0,0.0,0.7820518641201089,18.566666666666666,0.0005847542498467335,1.0
6511,명동,충무로2가,smart,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766598,139.66666666666666,6.382605986909262,48.666666666666664,17.666666666666668,73.33333333333333,0.0,,0.0,0.0,0.0,0.0,0.7820518641201089,18.566666666666666,0.0005847542498467335,1.0
6428,회현동,회현동1가,baseline,1.0,0.2946596858638743,4.0,40.0,14.0,21.0,4.806596858638743,57.0,12.08498883156417,9.0,4.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.44276705357137763,18.03333333333333,0.00014973495910588813,1.0
6428,회현동,회현동1가,smart,1.0,0.2946596858638743,4.0,40.0,14.0,21.0,4.806596858638743,57.0,12.08498883156417,9.0,4.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.44276705357137763,18.03333333333333,0.00014973495910588813,1.0
5831,중림동,남대문로5가,baseline,3.0,0.19019913136114072,4.0,50.0,14.0,21.0,4.801991313611407,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,31.889955424361897,95.3,0.00015210577476244323,1.0
5831,중림동,남대문로5가,smart,3.0,0.19019913136114072,4.0,50.0,14.0,21.0,4.801991313611407,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,31.889955424361897,95.3,0.00015210577476244323,1.0
8902,신당동,신당동,baseline,4.0,0.1998197792295562,2.0,50.0,7.0,14.0,4.798197792295562,111.66666666666667,6.6910329972829965,23.333333333333332,23.0,65.33333333333333,6.333333333333333,-0.4803885740348151,5.333333333333333,1.0,0.0,2.3333333333333335,6.307783846715123,96.96666666666665,0.527540060948328,5.666666666666667
8902,신당동,신당동,smart,4.0,0.1998197792295562,2.0,50.0,7.0,14.0,4.798197792295562,103.33333333333333,6.299825261158574,23.666666666666668,24.0,55.666666666666664,6.333333333333333,-1.3859387911747145,5.0,1.3333333333333333,0.0,1.3333333333333333,6.562599325820442,97.0,0.5965872493353557,5.333333333333333
10383,중림동,남대문로5가,baseline,4.0,0.19019913136114072,2.0,50.0,7.0,14.0,4.701991313611407,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.614413117748478,69.6,1.06150351357663e-05,0.3333333333333333
10383,중림동,남대문로5가,smart,4.0,0.19019913136114072,2.0,50.0,7.0,14.0,4.701991313611407,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.614413117748478,69.6,1.06150351357663e-05,0.3333333333333333
137963,황학동,황학동,baseline,5.0,0.1717813302883243,1.0,30.0,3.5,10.5,4.637813302883243,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,37.43113884245472,100.0,1.673425925925926,6.333333333333333
