cw_id,metric,metric_label,S1_mean,S1_sd,S1_mean_sd,S2_mean,S2_sd,S2_mean_sd,S3_mean,S3_sd,S3_mean_sd,S2_vs_S1_improvement_pct,S3_vs_S1_improvement_pct,elderly_risk_reduction_rate_pct,normal_risk_reduction_rate_pct,risk_reduction_rate_pct
CW5,vehicle_max_queue_veh,차량 최대 대기행렬(대),3.4,0.5477225575051661,3.40±0.55,3.8,1.3038404810405297,3.80±1.30,4.0,0.0,4.00±0.00,-11.764705882352938,-17.647058823529417,,,
CW5,ped_avg_wait_sec,보행자 평균 대기시간(초/인),0.03596015070395182,0.005434486389722168,0.04±0.01,0.03596004200231317,0.013045522424123589,0.04±0.01,0.037790123204591686,0.00977031801571279,0.04±0.01,0.0003022836014885697,-5.088889965187953,,,
CW5,pet_mean_sec,PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW5,elderly_pet_mean_sec,고령자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW5,normal_pet_mean_sec,일반 보행자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW5,severe_conflicts,심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,medium_conflicts,중간 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,elderly_severe_conflicts,고령자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,normal_severe_conflicts,일반 보행자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW5,elderly_risk_score,고령자 가중 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW5,normal_risk_score,일반 보행자 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW5,total_risk_score,통합 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW5,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),,,NA,,,NA,,,NA,,,,,
CW6,vehicle_max_queue_veh,차량 최대 대기행렬(대),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,ped_avg_wait_sec,보행자 평균 대기시간(초/인),0.05944335545440219,0.010169168319357576,0.06±0.01,0.06481105064148798,0.00948206997683447,0.06±0.01,0.06617518608695702,0.015968950099878636,0.07±0.02,-9.029933027928145,-11.324782359768841,,,
CW6,pet_mean_sec,PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW6,elderly_pet_mean_sec,고령자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW6,normal_pet_mean_sec,일반 보행자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW6,severe_conflicts,심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,medium_conflicts,중간 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,elderly_severe_conflicts,고령자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,normal_severe_conflicts,일반 보행자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW6,elderly_risk_score,고령자 가중 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW6,normal_risk_score,일반 보행자 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW6,total_risk_score,통합 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW6,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),,,NA,,,NA,,,NA,,,,,
CW7,vehicle_max_queue_veh,차량 최대 대기행렬(대),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,ped_avg_wait_sec,보행자 평균 대기시간(초/인),31.03207038532124,1.587011722136321,31.03±1.59,31.130773319160244,1.5661897432974619,31.13±1.57,31.131064346865507,1.4666150561244296,31.13±1.47,-0.31806751084739776,-0.31900533968591593,,,
CW7,pet_mean_sec,PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW7,elderly_pet_mean_sec,고령자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW7,normal_pet_mean_sec,일반 보행자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW7,severe_conflicts,심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,medium_conflicts,중간 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,elderly_severe_conflicts,고령자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,normal_severe_conflicts,일반 보행자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,14.8,3.7682887362833544,14.80±3.77,14.2,2.588435821108957,14.20±2.59,14.0,3.7416573867739413,14.00±3.74,4.054054054054063,5.40540540540541,,,
CW7,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,27.4,5.029910535983716,27.40±5.03,27.6,7.162401831787993,27.60±7.16,26.6,5.029910535983716,26.60±5.03,-0.7299270072992805,2.91970802919707,,,
CW7,elderly_risk_score,고령자 가중 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,normal_risk_score,일반 보행자 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,total_risk_score,통합 위험도(1인당),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW7,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),52.02308396247999,1.0377064136057788,52.02±1.04,51.521345229924506,0.4094396575131865,51.52±0.41,36.229481408051136,12.487792852478627,36.23±12.49,0.9644540352843057,30.358835638847342,,,
CW8,vehicle_max_queue_veh,차량 최대 대기행렬(대),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,ped_avg_wait_sec,보행자 평균 대기시간(초/인),0.03331319234642498,0.004285732283717179,0.03±0.00,0.032112367680170804,0.011432989804546444,0.03±0.01,0.0321580547112462,0.006966457883854371,0.03±0.01,3.6046520362466556,3.467508076579585,,,
CW8,pet_mean_sec,PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW8,elderly_pet_mean_sec,고령자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW8,normal_pet_mean_sec,일반 보행자 PET 평균(초),,,NA,,,NA,,,NA,,,,,
CW8,severe_conflicts,심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,medium_conflicts,중간 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,elderly_severe_conflicts,고령자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,normal_severe_conflicts,일반 보행자 심각 상충 건수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,elderly_incomplete_crossing,고령자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,normal_incomplete_crossing,일반 보행자 신호 내 횡단 미완료,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW8,elderly_risk_score,고령자 가중 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW8,normal_risk_score,일반 보행자 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW8,total_risk_score,통합 위험도(1인당),,,NA,,,NA,,,NA,,,,,
CW8,spillback_count,spillback 발생 횟수,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW9,vehicle_avg_wait_sec,차량 평균 대기시간(초/대),61.93591690489804,1.5299790820723018,61.94±1.53,49.41943842113114,2.083556908060756,49.42±2.08,51.49866386439599,10.857334774198181,51.50±10.86,20.208756258482175,16.851696983074206,,,
CW9,vehicle_max_queue_veh,차량 최대 대기행렬(대),0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,0.0,0.0,0.00±0.00,,,,,
CW9,ped_avg_wait_sec,보행자 평균 대기시간(초/인),20.76966037735849,1.3385311629998236,20.77±1.34,20.843703532329755,1.103547503637016,20.84±1.10,21.040776445576903,0.9727642658580737,21.04±0.97,-0.3564967054154633,-1.3053466609110358,,,
CW9,pet_mean_sec,PET 평균(초),41.531320861678005,2.8390433933674992,41.53±2.84,35.932232751390586,7.317925204677271,35.93±7.32,36.3483715762877,7.905505577143341,36.35±7.91,-13.481603748976445,-12.479615812490918,,,
CW9,elderly_pet_mean_sec,고령자 PET 평균(초),42.003952569169954,6.125117947041935,42.00±6.13,36.32371541501976,8.824770854651009,36.32±8.82,35.47477884434406,7.158435340639188,35.47±7.16,-13.523101533828912,-15.54418888097254,,,
CW9,normal_pet_mean_sec,일반 보행자 PET 평균(초),41.44875727128503,2.7005573435100576,41.45±2.70,35.87036991654951,7.290543864590555,35.87±7.29,36.50815209312001,8.215311513800813,36.51±8.22,-13.458515337925785,-11.919790853627802,,,
CW9,severe_conflicts,심각 상충 건수,12.4,1.6733200530681511,12.40±1.67,12.6,4.560701700396551,12.60±4.56,15.0,9.354143466934854,15.00±9.35,-1.6129032258064457,-20.967741935483865,,,
