scenario,scenario_key,seed,time,tls,cw_id,count
S3,smart_multi,45,3070.0,N6,CW3,1
S3,smart_multi,45,3071.0,N2,CW1,1
S3,smart_multi,45,3072.0,N2,CW1,2
S3,smart_multi,45,3158.0,N3,CW2,1
S3,smart_multi,45,3163.0,N3,CW2,2
S3,smart_multi,45,3178.0,N2,CW1,1
S3,smart_multi,45,3263.0,N3,CW2,1
S3,smart_multi,45,3268.0,N3,CW2,2
S3,smart_multi,45,3293.0,N2,CW1,1
S3,smart_multi,45,3294.0,N2,CW1,2
S3,smart_multi,45,3348.0,N6,CW3,1
S3,smart_multi,45,3353.0,N6,CW3,2
S3,smart_multi,45,3368.0,N3,CW2,1
S3,smart_multi,45,3378.0,N3,CW2,2
S3,smart_multi,45,3403.0,N2,CW1,1
S3,smart_multi,45,3404.0,N2,CW1,2
S3,smart_multi,45,3455.0,N6,CW3,1
S3,smart_multi,45,3456.0,N6,CW3,2
S3,smart_multi,45,3478.0,N3,CW2,1
S3,smart_multi,45,3479.0,N3,CW2,2
S3,smart_multi,45,3586.0,N3,CW2,1
S3,smart_multi,45,3587.0,N3,CW2,2
S2,smart_single,46,190.0,N2,CW1,1
S2,smart_single,46,195.0,N2,CW1,2
S2,smart_single,46,309.0,N2,CW1,1
S2,smart_single,46,310.0,N2,CW1,2
S2,smart_single,46,412.0,N2,CW1,1
S2,smart_single,46,425.0,N2,CW1,2
S2,smart_single,46,528.0,N2,CW1,1
S2,smart_single,46,529.0,N2,CW1,2
S2,smart_single,46,634.0,N2,CW1,1
S2,smart_single,46,640.0,N2,CW1,2
S2,smart_single,46,747.0,N2,CW1,1
S2,smart_single,46,750.0,N2,CW1,2
S2,smart_single,46,960.0,N2,CW1,1
S2,smart_single,46,962.0,N2,CW1,2
S2,smart_single,46,1071.0,N2,CW1,1
S2,smart_single,46,1073.0,N2,CW1,2
S2,smart_single,46,1179.0,N2,CW1,1
S2,smart_single,46,1189.0,N2,CW1,2
S2,smart_single,46,1300.0,N2,CW1,1
S2,smart_single,46,1301.0,N2,CW1,2
S2,smart_single,46,1401.0,N2,CW1,1
S2,smart_single,46,1412.0,N2,CW1,2
S2,smart_single,46,1623.0,N2,CW1,1
S2,smart_single,46,1624.0,N2,CW1,2
S2,smart_single,46,1730.0,N2,CW1,1
S2,smart_single,46,1731.0,N2,CW1,2
S2,smart_single,46,1835.0,N2,CW1,1
S2,smart_single,46,1846.0,N2,CW1,2
S2,smart_single,46,1946.0,N2,CW1,1
S2,smart_single,46,1951.0,N2,CW1,2
S2,smart_single,46,2057.0,N2,CW1,1
S2,smart_single,46,2069.0,N2,CW1,2
S2,smart_single,46,2269.0,N2,CW1,1
S2,smart_single,46,2274.0,N2,CW1,2
S2,smart_single,46,2381.0,N2,CW1,1
S2,smart_single,46,2385.0,N2,CW1,2
S2,smart_single,46,2492.0,N2,CW1,1
S2,smart_single,46,2605.0,N2,CW1,1
S2,smart_single,46,2606.0,N2,CW1,2
S2,smart_single,46,2709.0,N2,CW1,1
S2,smart_single,46,2713.0,N2,CW1,2
S2,smart_single,46,2924.0,N2,CW1,1
S2,smart_single,46,2925.0,N2,CW1,2
S2,smart_single,46,3035.0,N2,CW1,1
S2,smart_single,46,3036.0,N2,CW1,2
S2,smart_single,46,3142.0,N2,CW1,1
S2,smart_single,46,3147.0,N2,CW1,2
S2,smart_single,46,3258.0,N2,CW1,1
S2,smart_single,46,3259.0,N2,CW1,2
S2,smart_single,46,3465.0,N2,CW1,1
S2,smart_single,46,3571.0,N2,CW1,1
S2,smart_single,46,3579.0,N2,CW1,2
S3,smart_multi,46,180.0,N6,CW3,1
S3,smart_multi,46,181.0,N6,CW3,2
S3,smart_multi,46,184.0,N3,CW2,1
S3,smart_multi,46,185.0,N3,CW2,2
S3,smart_multi,46,190.0,N2,CW1,1
S3,smart_multi,46,195.0,N2,CW1,2
S3,smart_multi,46,271.0,N6,CW3,1
S3,smart_multi,46,280.0,N6,CW3,2
S3,smart_multi,46,310.0,N2,CW1,1
S3,smart_multi,46,311.0,N2,CW1,2
S3,smart_multi,46,373.0,N6,CW3,1
S3,smart_multi,46,377.0,N6,CW3,2
S3,smart_multi,46,378.0,N3,CW2,1
S3,smart_multi,46,412.0,N2,CW1,1
S3,smart_multi,46,478.0,N3,CW2,1
S3,smart_multi,46,527.0,N2,CW1,1
S3,smart_multi,46,528.0,N2,CW1,2
S3,smart_multi,46,567.0,N6,CW3,1
S3,smart_multi,46,569.0,N6,CW3,2
S3,smart_multi,46,578.0,N3,CW2,1
S3,smart_multi,46,629.0,N2,CW1,1
S3,smart_multi,46,634.0,N2,CW1,2
S3,smart_multi,46,678.0,N3,CW2,1
S3,smart_multi,46,746.0,N2,CW1,1
S3,smart_multi,46,747.0,N2,CW1,2
S3,smart_multi,46,765.0,N6,CW3,1
S3,smart_multi,46,766.0,N6,CW3,2
S3,smart_multi,46,785.0,N3,CW2,1
S3,smart_multi,46,786.0,N3,CW2,2
S3,smart_multi,46,851.0,N2,CW1,1
S3,smart_multi,46,883.0,N3,CW2,1
S3,smart_multi,46,952.0,N6,CW3,1
S3,smart_multi,46,953.0,N6,CW3,2
S3,smart_multi,46,957.0,N2,CW1,1
S3,smart_multi,46,962.0,N2,CW1,2
S3,smart_multi,46,983.0,N3,CW2,1
S3,smart_multi,46,1052.0,N6,CW3,1
S3,smart_multi,46,1054.0,N6,CW3,2
S3,smart_multi,46,1071.0,N2,CW1,1
S3,smart_multi,46,1073.0,N2,CW1,2
S3,smart_multi,46,1084.0,N3,CW2,1
S3,smart_multi,46,1088.0,N3,CW2,2
S3,smart_multi,46,1150.0,N6,CW3,1
S3,smart_multi,46,1187.0,N2,CW1,1
S3,smart_multi,46,1188.0,N2,CW1,2
S3,smart_multi,46,1188.0,N3,CW2,1
S3,smart_multi,46,1195.0,N3,CW2,2
S3,smart_multi,46,1290.0,N2,CW1,1
S3,smart_multi,46,1294.0,N3,CW2,1
S3,smart_multi,46,1304.0,N3,CW2,2
S3,smart_multi,46,1493.0,N3,CW2,1
S3,smart_multi,46,1499.0,N2,CW1,1
S3,smart_multi,46,1502.0,N2,CW1,2
S3,smart_multi,46,1502.0,N3,CW2,2
S3,smart_multi,46,1519.0,N6,CW3,1
S3,smart_multi,46,1530.0,N6,CW3,2
S3,smart_multi,46,1598.0,N3,CW2,1
S3,smart_multi,46,1603.0,N3,CW2,2
S3,smart_multi,46,1608.0,N2,CW1,1
S3,smart_multi,46,1622.0,N2,CW1,2
S3,smart_multi,46,1626.0,N6,CW3,1
S3,smart_multi,46,1627.0,N6,CW3,2
S3,smart_multi,46,1798.0,N3,CW2,1
S3,smart_multi,46,1810.0,N3,CW2,2
S3,smart_multi,46,1824.0,N2,CW1,1
S3,smart_multi,46,1825.0,N2,CW1,2
S3,smart_multi,46,1903.0,N3,CW2,1
S3,smart_multi,46,1903.0,N6,CW3,1
S3,smart_multi,46,1910.0,N3,CW2,2
S3,smart_multi,46,1912.0,N6,CW3,2
S3,smart_multi,46,2004.0,N6,CW3,1
S3,smart_multi,46,2008.0,N3,CW2,1
S3,smart_multi,46,2013.0,N3,CW2,2
S3,smart_multi,46,2036.0,N2,CW1,1
S3,smart_multi,46,2037.0,N2,CW1,2
S3,smart_multi,46,2113.0,N3,CW2,1
S3,smart_multi,46,2118.0,N3,CW2,2
S3,smart_multi,46,2143.0,N2,CW1,1
S3,smart_multi,46,2148.0,N2,CW1,2
S3,smart_multi,46,2192.0,N6,CW3,1
S3,smart_multi,46,2196.0,N6,CW3,2
S3,smart_multi,46,2313.0,N3,CW2,1
S3,smart_multi,46,2318.0,N3,CW2,2
S3,smart_multi,46,2357.0,N2,CW1,1
S3,smart_multi,46,2360.0,N2,CW1,2
S3,smart_multi,46,2418.0,N3,CW2,1
S3,smart_multi,46,2466.0,N2,CW1,1
S3,smart_multi,46,2471.0,N2,CW1,2
S3,smart_multi,46,2480.0,N6,CW3,1
S3,smart_multi,46,2481.0,N6,CW3,2
S3,smart_multi,46,2525.0,N3,CW2,1
S3,smart_multi,46,2526.0,N3,CW2,2
S3,smart_multi,46,2578.0,N6,CW3,1
S3,smart_multi,46,2580.0,N6,CW3,2
S3,smart_multi,46,2583.0,N2,CW1,1
S3,smart_multi,46,2584.0,N2,CW1,2
S3,smart_multi,46,2624.0,N3,CW2,1
S3,smart_multi,46,2628.0,N3,CW2,2
S3,smart_multi,46,2694.0,N2,CW1,1
S3,smart_multi,46,2695.0,N2,CW1,2
S3,smart_multi,46,2728.0,N3,CW2,1
S3,smart_multi,46,2733.0,N3,CW2,2
S3,smart_multi,46,2767.0,N6,CW3,1
S3,smart_multi,46,2775.0,N6,CW3,2
S3,smart_multi,46,2801.0,N2,CW1,1
S3,smart_multi,46,2804.0,N2,CW1,2
S3,smart_multi,46,2841.0,N3,CW2,1
S3,smart_multi,46,2842.0,N3,CW2,2
S3,smart_multi,46,2870.0,N6,CW3,1
S3,smart_multi,46,2873.0,N6,CW3,2
S3,smart_multi,46,2910.0,N2,CW1,1
S3,smart_multi,46,2924.0,N2,CW1,2
S3,smart_multi,46,2938.0,N3,CW2,1
S3,smart_multi,46,3021.0,N2,CW1,1
S3,smart_multi,46,3026.0,N2,CW1,2
S3,smart_multi,46,3038.0,N3,CW2,1
S3,smart_multi,46,3047.0,N3,CW2,2
S3,smart_multi,46,3142.0,N2,CW1,1
S3,smart_multi,46,3143.0,N2,CW1,2
S3,smart_multi,46,3143.0,N3,CW2,1
S3,smart_multi,46,3156.0,N6,CW3,1
S3,smart_multi,46,3157.0,N6,CW3,2
S3,smart_multi,46,3158.0,N3,CW2,2
S3,smart_multi,46,3245.0,N2,CW1,1
S3,smart_multi,46,3248.0,N2,CW1,2
S3,smart_multi,46,3248.0,N3,CW2,1
S3,smart_multi,46,3252.0,N6,CW3,1
S3,smart_multi,46,3253.0,N3,CW2,2
S3,smart_multi,46,3257.0,N6,CW3,2
S3,smart_multi,46,3354.0,N2,CW1,1
S3,smart_multi,46,3359.0,N2,CW1,2
S3,smart_multi,46,3363.0,N6,CW3,1
S3,smart_multi,46,3364.0,N6,CW3,2
S3,smart_multi,46,3457.0,N3,CW2,1
S3,smart_multi,46,3458.0,N3,CW2,2
S3,smart_multi,46,3461.0,N6,CW3,1
S3,smart_multi,46,3462.0,N6,CW3,2
S3,smart_multi,46,3465.0,N2,CW1,1
S3,smart_multi,46,3556.0,N3,CW2,1
S3,smart_multi,46,3558.0,N3,CW2,2
S3,smart_multi,46,3571.0,N2,CW1,1
S3,smart_multi,46,3578.0,N2,CW1,2
