횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
8029,127.007290033034,37.54718191871419,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
8030,127.00699686721242,37.54730322892141,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
8031,127.0070802281314,37.54737188006751,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
9117,127.01956234797312,37.56578630135818,황학동,3.0,104.0,50.0,0.0,26875.559786532827,황학동,0.1717813302883243,False,10.5,17.5,20.125,2.817813302883243
8051,127.01003078896665,37.56955441510931,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
8052,127.00999918041822,37.56968944097246,신당동,2.0,104.0,30.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,3.218197792295562
8061,127.01154288268025,37.56804613645737,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
8062,127.0114249817276,37.56789968206082,신당동,2.0,104.0,40.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,3.258197792295562
8064,127.00997376266815,37.568793651058506,을지로6가,2.0,104.0,40.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.318596073765615
8065,127.0098555114737,37.5685870873947,을지로6가,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
8066,127.0098725439075,37.56870538430257,을지로6가,2.0,104.0,30.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.778596073765615
8068,127.00940094891344,37.568096674088906,을지로6가,4.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,14.0,21.0,24.5,2.958596073765615
8069,127.0090157073556,37.568266055287744,을지로6가,4.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,14.0,21.0,24.5,2.958596073765615
10212,127.02413145527584,37.5635976208184,신당동,2.0,,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,True,7.0,14.0,15.75,2.798197792295562
10250,127.01588134499846,37.56783623214405,흥인동,2.0,104.0,50.0,0.0,26875.559786532827,황학동,0.1717813302883243,False,7.0,14.0,15.75,2.5178133028832432
14609,126.96507321770068,37.55493168127287,만리동2가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14611,126.9648691609848,37.5548492335067,만리동2가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14613,126.96504445690562,37.5549637122392,만리동2가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14614,126.96480588040812,37.55493389042423,만리동2가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14615,126.96481739380285,37.55490185437786,만리동2가,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14423,126.96613519108408,37.55851697824047,중림동,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
15554,127.00999575907088,37.56547058707112,을지로7가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
14616,126.96887311665672,37.55565363237035,만리동1가,3.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.001991313611407
15405,126.97930916593144,37.566868583552754,을지로1가,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
15406,126.97928454020364,37.567019735819215,무교동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
15407,126.9793046813667,37.56696252611416,무교동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
15409,126.99350950477242,37.5612421987582,필동1가,3.0,104.0,50.0,2.0,26875.559786532827,필동,0.1838276969582467,False,10.5,17.5,20.125,3.938276969582467
15410,126.98745460598576,37.56688556783343,장교동,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
15411,126.98580977435756,37.56623281004353,을지로2가,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
15413,126.97891551868676,37.56604006615432,을지로1가,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
15414,126.97928596885548,37.5670517754826,무교동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
20512,126.992441534454,37.560969799931875,필동1가,3.0,104.0,50.0,0.0,26875.559786532827,필동,0.1838276969582467,False,10.5,17.5,20.125,2.938276969582467
20513,126.9924458231091,37.561203230452506,필동1가,2.0,104.0,50.0,2.0,26875.559786532827,필동,0.1838276969582467,False,7.0,14.0,15.75,3.638276969582467
20516,126.99066917077558,37.56129006761727,충무로3가,1.0,104.0,30.0,0.0,26875.559786532827,필동,0.1838276969582467,False,3.5,10.5,11.375,2.2582769695824667
20517,126.9905398072887,37.56126030641002,충무로3가,1.0,104.0,30.0,0.0,26875.559786532827,필동,0.1838276969582467,False,3.5,10.5,11.375,2.2582769695824667
20545,126.99291729453148,37.56120097114528,필동1가,2.0,104.0,50.0,0.0,26875.559786532827,필동,0.1838276969582467,False,7.0,14.0,15.75,2.638276969582467
31145,126.97922582543676,37.56904369379499,무교동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
31146,126.97935760136774,37.5690461007936,무교동,2.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.358596073765615
21865,126.98872866067542,37.56129905243789,충무로2가,1.0,104.0,50.0,0.0,26875.559786532827,명동,0.2357627618766598,False,3.5,10.5,11.375,2.857627618766598
23068,126.98957458458553,37.566348180722535,을지로2가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
24599,127.00475042024216,37.56669184534337,을지로6가,3.0,104.0,50.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,10.5,17.5,20.125,2.658596073765615
24600,127.01252615278284,37.567987678733566,신당동,1.0,104.0,30.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,3.5,10.5,11.375,2.9181977922955618
24601,127.01237664002689,37.56793734686115,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
